Datetime,Close,High,Low,Open,Volume
2024-05-20 10:30:00,324.25,326.25,324.25,325.75,2246627
2024-05-20 11:30:00,324.25,325.25,323.25,324.25,1944393
2024-05-20 12:30:00,324.25,325.0,323.75,324.25,1037543
2024-05-20 13:30:00,324.5,325.25,323.75,324.25,1670103
2024-05-20 14:30:00,322.75,324.75,322.5,324.75,2113711
2024-05-21 10:30:00,328.5,329.0,328.0,329.0,1974871
2024-05-21 11:30:00,323.5,328.75,323.0,328.5,5673764
2024-05-21 12:30:00,323.25,325.0,323.0,323.5,4069503
2024-05-21 13:30:00,322.25,324.0,322.0,323.25,4017442
2024-05-21 14:30:00,322.25,322.5,321.5,322.25,2369403
2024-05-22 10:30:00,321.25,323.25,321.25,323.25,2364474
2024-05-22 11:30:00,320.0,321.75,319.5,321.5,2703443
2024-05-22 12:30:00,320.5,320.75,319.0,320.0,2636426
2024-05-22 13:30:00,321.75,322.75,320.25,320.5,3326708
2024-05-22 14:30:00,321.25,322.0,321.0,321.75,1992396
2024-05-23 10:30:00,320.75,321.5,320.5,321.25,2929805
2024-05-23 11:30:00,320.25,322.0,319.5,321.0,3516274
2024-05-23 12:30:00,319.5,321.0,319.25,320.0,2627674
2024-05-23 13:30:00,320.0,321.0,318.25,319.75,4776029
2024-05-23 14:30:00,318.0,320.5,317.75,320.0,4508650
2024-05-24 10:30:00,316.75,318.0,316.75,317.25,1377498
2024-05-24 11:30:00,318.25,319.5,316.75,317.0,1696014
2024-05-24 12:30:00,318.5,319.25,316.75,318.25,2165543
2024-05-24 13:30:00,317.75,318.75,317.25,318.5,1815705
2024-05-24 14:30:00,319.0,319.0,315.75,317.75,4081138
2024-05-27 10:30:00,317.0,317.75,316.5,317.25,1594719
2024-05-27 11:30:00,316.5,317.25,316.25,317.0,1069476
2024-05-27 12:30:00,314.25,316.5,313.0,316.25,3647090
2024-05-27 13:30:00,315.25,317.75,314.0,314.25,3013632
2024-05-27 14:30:00,315.5,315.75,314.75,315.25,2359551
2024-05-28 10:30:00,312.25,313.5,311.5,313.25,1698037
2024-05-28 11:30:00,312.5,312.75,311.75,312.25,1928188
2024-05-28 12:30:00,313.0,313.25,312.25,312.5,2304265
2024-05-28 13:30:00,312.5,314.0,312.0,313.0,2610937
2024-05-28 14:30:00,312.0,312.5,311.0,312.25,2160137
2024-05-29 10:30:00,310.5,313.0,310.5,312.25,2318604
2024-05-29 11:30:00,309.5,311.5,309.0,310.5,3254624
