Datetime,Close,High,Low,Open,Volume
2026-02-23 10:00:00,312.75,313.25,312.5,312.75,107687
2026-02-23 10:05:00,312.75,313.0,312.25,312.75,121116
2026-02-23 10:10:00,312.75,313.0,312.5,312.75,83072
2026-02-23 10:15:00,312.75,313.0,312.5,312.5,99528
2026-02-23 10:20:00,312.75,313.0,312.25,312.75,300438
2026-02-23 10:25:00,313.0,313.0,312.25,312.5,148597
2026-02-23 10:30:00,313.25,313.5,313.0,313.0,227125
2026-02-23 10:35:00,313.25,313.5,313.0,313.25,172941
2026-02-23 10:40:00,313.0,313.25,313.0,313.25,24924
2026-02-23 10:45:00,312.75,313.25,312.75,313.25,57803
2026-02-23 10:50:00,312.5,313.0,312.25,312.75,158650
2026-02-23 10:55:00,312.25,312.5,312.25,312.5,129129
2026-02-23 11:00:00,311.75,312.5,311.25,312.5,573694
2026-02-23 11:05:00,311.75,312.0,311.5,311.75,155094
2026-02-23 11:10:00,311.0,311.75,310.25,311.5,496592
2026-02-23 11:15:00,311.75,311.75,310.75,310.75,208496
2026-02-23 11:20:00,311.75,311.75,311.25,311.75,61776
2026-02-23 11:25:00,310.75,311.75,310.5,311.5,495159
2026-02-23 11:30:00,311.25,311.5,310.75,311.0,224915
2026-02-23 11:35:00,310.5,311.5,310.5,311.5,152357
2026-02-23 11:40:00,310.5,310.75,309.5,310.75,611245
2026-02-23 11:45:00,310.0,310.5,310.0,310.5,154521
2026-02-23 11:50:00,309.75,310.25,309.25,310.0,415260
2026-02-23 11:55:00,310.0,310.0,309.5,309.75,96980
2026-02-23 12:00:00,309.75,310.5,309.5,309.75,448520
2026-02-23 12:05:00,310.75,310.75,309.75,310.0,185994
2026-02-23 12:10:00,310.5,311.25,310.5,310.75,390403
2026-02-23 12:15:00,310.0,310.75,309.5,310.75,243040
2026-02-23 12:20:00,309.75,310.25,309.25,310.0,390183
2026-02-23 12:25:00,309.5,310.0,309.25,309.5,296959
2026-02-23 12:30:00,310.0,310.0,309.25,309.5,228621
2026-02-23 12:35:00,310.5,310.75,309.5,310.0,280092
2026-02-23 12:40:00,310.25,310.5,310.0,310.5,110495
2026-02-23 12:45:00,309.5,310.75,309.5,310.25,215877
2026-02-23 12:50:00,309.5,309.75,309.0,309.75,405158
2026-02-23 12:55:00,309.25,309.75,309.25,309.5,195979
2026-02-23 13:00:00,310.0,310.0,308.75,309.5,585780
2026-02-23 13:05:00,310.0,310.25,309.5,310.0,217735
2026-02-23 13:10:00,310.0,310.5,309.75,309.75,221136
2026-02-23 13:15:00,309.75,310.25,309.75,310.0,90040
2026-02-23 13:20:00,309.75,310.0,309.25,310.0,220096
2026-02-23 13:25:00,309.5,310.0,309.5,309.75,110446
2026-02-23 13:30:00,310.25,310.25,309.5,309.75,155699
2026-02-23 13:35:00,310.0,310.5,309.25,310.25,469296
2026-02-23 13:40:00,310.25,310.5,310.0,310.25,206959
2026-02-23 13:45:00,310.5,311.25,310.25,310.5,342698
2026-02-23 13:50:00,310.75,311.0,310.5,310.75,146115
2026-02-23 13:55:00,310.25,310.75,310.0,310.5,157738
2026-02-23 14:00:00,311.75,311.75,310.25,310.5,283789
2026-02-23 14:05:00,311.75,312.0,311.5,311.75,326136
2026-02-23 14:10:00,311.75,311.75,311.5,311.75,192676
2026-02-23 14:15:00,311.25,311.75,311.25,311.5,153700
2026-02-23 14:20:00,311.25,311.75,310.75,311.25,421094
2026-02-23 14:25:00,311.0,311.25,310.75,311.25,304134
2026-02-23 14:30:00,311.5,311.5,310.5,310.75,251433
