Datetime,Close,High,Low,Open,Volume
2026-05-08 10:00:00,260.5,260.5,260.25,260.25,5775
2026-05-08 10:01:00,260.5,260.5,260.25,260.5,8026
2026-05-08 10:02:00,260.5,260.5,260.25,260.5,9476
2026-05-08 10:03:00,260.5,260.5,260.25,260.5,2401
2026-05-08 10:04:00,260.5,260.5,260.25,260.25,11845
2026-05-08 10:05:00,260.25,260.5,260.0,260.5,15435
2026-05-08 10:06:00,260.25,260.25,260.0,260.0,2767
2026-05-08 10:07:00,260.25,260.25,260.0,260.0,7040
2026-05-08 10:08:00,260.0,260.25,260.0,260.25,17135
2026-05-08 10:09:00,260.25,260.25,260.0,260.25,1524
2026-05-08 10:10:00,260.25,260.25,260.0,260.25,13595
2026-05-08 10:11:00,260.25,260.25,260.0,260.0,1679
2026-05-08 10:12:00,260.25,260.25,260.0,260.25,8221
2026-05-08 10:13:00,260.25,260.25,260.0,260.0,5595
2026-05-08 10:14:00,260.25,260.25,260.0,260.25,6156
2026-05-08 10:15:00,260.25,260.25,260.0,260.25,9065
2026-05-08 10:16:00,260.25,260.25,260.0,260.0,3993
2026-05-08 10:17:00,260.25,260.25,260.0,260.25,6040
2026-05-08 10:18:00,260.25,260.25,260.0,260.0,4308
2026-05-08 10:19:00,260.25,260.25,260.0,260.25,5497
2026-05-08 10:20:00,260.25,260.25,260.0,260.0,43134
2026-05-08 10:21:00,260.25,260.25,260.0,260.25,4559
2026-05-08 10:22:00,260.0,260.25,260.0,260.0,7304
2026-05-08 10:23:00,260.25,260.25,260.0,260.0,31591
2026-05-08 10:24:00,260.0,260.25,260.0,260.0,10783
2026-05-08 10:25:00,260.25,260.25,260.0,260.25,4112
2026-05-08 10:26:00,260.25,260.25,260.0,260.0,13379
2026-05-08 10:27:00,260.25,260.25,260.0,260.25,2594
2026-05-08 10:28:00,260.0,260.25,260.0,260.25,22941
2026-05-08 10:29:00,260.25,260.25,260.0,260.25,5309
2026-05-08 10:30:00,260.25,260.25,260.0,260.25,3851
2026-05-08 10:31:00,260.25,260.25,260.0,260.25,6477
2026-05-08 10:32:00,260.25,260.25,260.0,260.0,22269
2026-05-08 10:33:00,260.0,260.25,259.75,260.25,25498
2026-05-08 10:34:00,259.75,260.25,259.75,260.0,22114
2026-05-08 10:35:00,260.0,260.0,259.75,259.75,26713
2026-05-08 10:36:00,260.0,260.0,259.75,259.75,5407
2026-05-08 10:37:00,260.0,260.0,259.75,259.75,19016
2026-05-08 10:38:00,260.0,260.0,259.75,259.75,12336
