Datetime,Close,High,Low,Open,Volume
2026-05-08 10:00:00,309.0,309.25,309.0,309.25,7386
2026-05-08 10:01:00,309.0,309.25,309.0,309.0,2469
2026-05-08 10:02:00,309.0,309.25,309.0,309.25,63813
2026-05-08 10:03:00,309.0,309.25,309.0,309.0,5396
2026-05-08 10:04:00,309.25,309.25,309.0,309.0,8146
2026-05-08 10:05:00,309.25,309.25,309.0,309.0,9340
2026-05-08 10:06:00,309.0,309.25,309.0,309.0,5064
2026-05-08 10:07:00,309.25,309.25,309.0,309.0,3420
2026-05-08 10:08:00,309.0,309.25,309.0,309.25,13514
2026-05-08 10:09:00,309.0,309.25,309.0,309.25,9112
2026-05-08 10:10:00,309.25,309.25,309.0,309.25,6343
2026-05-08 10:11:00,309.0,309.25,309.0,309.25,5906
2026-05-08 10:12:00,309.0,309.25,309.0,309.0,15282
2026-05-08 10:13:00,309.25,309.25,309.0,309.0,62444
2026-05-08 10:14:00,309.0,309.25,309.0,309.25,46627
2026-05-08 10:15:00,309.0,309.25,309.0,309.0,26373
2026-05-08 10:16:00,309.0,309.25,309.0,309.0,2923
2026-05-08 10:17:00,309.25,309.25,309.0,309.25,6125
2026-05-08 10:18:00,309.25,309.25,309.0,309.25,14892
2026-05-08 10:19:00,309.25,309.25,309.0,309.25,6606
2026-05-08 10:20:00,309.25,309.25,309.0,309.25,36084
2026-05-08 10:21:00,309.25,309.25,309.0,309.25,3671
2026-05-08 10:22:00,309.0,309.25,309.0,309.0,5282
2026-05-08 10:23:00,309.5,309.5,309.0,309.25,35370
2026-05-08 10:24:00,309.5,309.5,309.25,309.25,7694
2026-05-08 10:25:00,309.5,309.75,309.25,309.5,105363
2026-05-08 10:26:00,310.25,310.25,309.5,309.5,166170
2026-05-08 10:27:00,310.25,310.25,310.0,310.25,20347
2026-05-08 10:28:00,310.25,310.25,310.0,310.0,109574
2026-05-08 10:29:00,310.0,310.25,309.75,310.0,58666
2026-05-08 10:30:00,311.0,311.25,309.75,310.0,748037
2026-05-08 10:31:00,310.75,311.0,310.5,311.0,352220
2026-05-08 10:32:00,310.75,311.0,310.5,310.5,123072
2026-05-08 10:33:00,310.75,310.75,310.5,310.5,60392
2026-05-08 10:34:00,310.75,311.0,310.5,310.75,120133
2026-05-08 10:35:00,310.75,310.75,310.5,310.75,142569
2026-05-08 10:36:00,310.75,310.75,310.5,310.75,35540
2026-05-08 10:37:00,310.75,310.75,310.5,310.75,58365
2026-05-08 10:38:00,310.75,310.75,310.5,310.75,104190
2026-05-08 10:39:00,310.75,310.75,310.5,310.5,15359
2026-05-08 10:40:00,310.5,310.75,310.5,310.5,72085
2026-05-08 10:41:00,310.75,310.75,310.5,310.5,4907
2026-05-08 10:42:00,310.5,310.75,310.5,310.75,9746
2026-05-08 10:43:00,311.0,311.0,310.5,310.5,34701
2026-05-08 10:44:00,311.0,311.0,310.75,310.75,60581
2026-05-08 10:45:00,311.0,311.0,310.75,311.0,52934
2026-05-08 10:46:00,311.0,311.0,310.75,311.0,26358
2026-05-08 10:47:00,311.0,311.0,310.75,311.0,25458
2026-05-08 10:48:00,311.0,311.25,311.0,311.0,187604
2026-05-08 10:49:00,311.25,311.25,311.0,311.0,11712
2026-05-08 10:50:00,310.75,311.25,310.75,311.25,65305
2026-05-08 10:51:00,311.0,311.0,310.75,311.0,4122
2026-05-08 10:52:00,311.0,311.0,310.75,311.0,4468
2026-05-08 10:53:00,311.0,311.0,310.75,310.75,5999
2026-05-08 10:54:00,310.75,311.0,310.75,311.0,13116
2026-05-08 10:55:00,310.5,311.0,310.5,311.0,78771
2026-05-08 10:56:00,310.75,310.75,310.25,310.5,117915
2026-05-08 10:57:00,310.5,310.75,310.5,310.5,54398
2026-05-08 10:58:00,310.5,310.5,310.25,310.25,16797
2026-05-08 10:59:00,310.25,310.5,310.25,310.5,6820
2026-05-08 11:00:00,310.25,310.5,310.25,310.5,2895
2026-05-08 11:01:00,310.5,310.5,310.25,310.5,10527
2026-05-08 11:02:00,310.75,310.75,310.25,310.5,125928
2026-05-08 11:03:00,310.75,310.75,310.5,310.5,75389
2026-05-08 11:04:00,310.75,311.0,310.5,310.5,17183
2026-05-08 11:05:00,311.0,311.25,310.75,311.0,145574
2026-05-08 11:06:00,311.0,311.25,311.0,311.0,29400
2026-05-08 11:07:00,311.25,311.5,311.0,311.0,188234
2026-05-08 11:08:00,311.0,311.25,311.0,311.25,49626
2026-05-08 11:09:00,311.0,311.25,311.0,311.0,51361
2026-05-08 11:10:00,311.0,311.5,311.0,311.0,135184
2026-05-08 11:11:00,311.0,311.25,311.0,311.0,33716
2026-05-08 11:12:00,311.0,311.0,310.75,311.0,14020
2026-05-08 11:13:00,310.75,311.0,310.5,310.75,63480
2026-05-08 11:14:00,310.5,310.75,310.25,310.75,105474
2026-05-08 11:15:00,310.75,310.75,310.5,310.5,16164
2026-05-08 11:16:00,310.75,310.75,310.5,310.5,25222
2026-05-08 11:17:00,310.75,310.75,310.5,310.75,5763
2026-05-08 11:18:00,310.25,310.75,310.25,310.5,32752
2026-05-08 11:19:00,310.5,310.5,310.25,310.5,23413
2026-05-08 11:20:00,310.5,310.5,310.25,310.5,2321
2026-05-08 11:21:00,310.25,310.5,310.0,310.5,114817
2026-05-08 11:22:00,310.25,310.25,309.75,310.25,213489
2026-05-08 11:23:00,309.75,310.25,309.5,310.0,152512
2026-05-08 11:24:00,310.0,310.0,309.75,309.75,66452
2026-05-08 11:25:00,310.0,310.0,309.75,310.0,62611
2026-05-08 11:26:00,310.25,310.25,309.75,310.0,29938
2026-05-08 11:27:00,310.25,310.5,310.0,310.25,124137
2026-05-08 11:28:00,310.25,310.5,310.25,310.5,84201
2026-05-08 11:29:00,310.5,310.5,310.25,310.25,103069
2026-05-08 11:30:00,310.25,310.5,310.0,310.25,32662
2026-05-08 11:31:00,310.25,310.5,310.0,310.0,64009
2026-05-08 11:32:00,310.0,310.5,310.0,310.25,64437
2026-05-08 11:33:00,309.75,310.25,309.75,310.0,132190
2026-05-08 11:34:00,310.0,310.0,309.75,310.0,29722
2026-05-08 11:35:00,310.25,310.25,310.0,310.0,60644
2026-05-08 11:36:00,310.25,310.5,310.0,310.25,63246
2026-05-08 11:37:00,310.25,310.5,310.0,310.5,38062
2026-05-08 11:38:00,310.0,310.25,310.0,310.25,2474
2026-05-08 11:39:00,310.25,310.25,310.0,310.25,5590
2026-05-08 11:40:00,310.5,310.5,310.0,310.25,88414
2026-05-08 11:41:00,310.25,310.5,310.25,310.25,42017
2026-05-08 11:42:00,310.0,310.5,310.0,310.25,95553
2026-05-08 11:43:00,310.0,310.25,310.0,310.0,2139
2026-05-08 11:44:00,310.25,310.25,310.0,310.0,10433
2026-05-08 11:45:00,310.25,310.25,310.0,310.25,18820
2026-05-08 11:46:00,310.25,310.25,310.0,310.25,6445
2026-05-08 11:47:00,310.25,310.25,310.0,310.25,29380
2026-05-08 11:48:00,310.25,310.25,310.0,310.0,11057
2026-05-08 11:49:00,310.25,310.25,310.0,310.25,6280
2026-05-08 11:50:00,310.25,310.25,310.0,310.25,7198
2026-05-08 11:51:00,310.5,310.5,310.0,310.25,31495
2026-05-08 11:52:00,310.25,310.5,310.25,310.25,51058
2026-05-08 11:53:00,310.5,310.5,310.25,310.25,21064
2026-05-08 11:54:00,310.25,310.5,310.25,310.25,2423
2026-05-08 11:55:00,310.5,310.5,310.25,310.5,5355
2026-05-08 11:56:00,310.0,310.5,310.0,310.5,85458
2026-05-08 11:57:00,310.25,310.25,310.0,310.0,14253
2026-05-08 11:58:00,310.25,310.25,310.0,310.25,7219
2026-05-08 11:59:00,310.25,310.25,310.0,310.25,37852
2026-05-08 12:00:00,310.25,310.5,310.0,310.25,50592
2026-05-08 12:01:00,310.25,310.25,310.0,310.25,33635
2026-05-08 12:02:00,310.5,310.5,310.0,310.25,14172
