Date,Close,High,Low,Open,Volume
2025-07-02,412.0,412.0,380.25,380.25,10601
2025-07-03,422.25,434.5,422.25,434.5,12376
2025-07-04,436.25,436.25,423.0,424.0,8673
2025-07-07,434.5,436.0,431.0,431.0,8274
2025-07-08,449.75,451.25,444.25,444.25,11656
2025-07-09,444.25,449.0,414.0,414.0,7860
2025-07-10,432.25,438.25,432.0,434.75,7615
2025-07-11,416.5,430.0,416.5,430.0,8977
2025-07-14,400.0,411.75,400.0,411.75,12473
2025-07-16,398.5,409.0,398.5,409.0,8065
2025-07-17,400.0,400.0,398.5,398.5,9059
2025-07-18,404.0,407.5,402.0,407.5,9189
2025-07-21,423.0,429.75,415.0,415.0,9058
2025-07-22,430.0,440.0,430.0,440.0,9642
2025-07-23,415.0,430.0,412.5,430.0,12028
2025-07-24,413.5,420.0,413.5,420.0,6302
2025-07-25,409.75,413.5,406.25,413.5,8134
2025-07-28,408.25,418.5,406.0,418.5,7254
2025-07-29,407.5,407.5,407.5,407.5,8588
2025-07-30,415.0,415.0,409.0,409.0,10135
2025-07-31,427.5,427.5,415.0,415.0,7466
2025-08-01,440.0,447.25,440.0,447.25,11456
2025-08-04,450.0,456.0,450.0,456.0,7596
2025-08-05,450.0,457.0,450.0,457.0,11033
2025-08-06,435.5,450.0,431.25,450.0,10280
2025-08-07,450.0,450.0,439.75,445.0,10229
2025-08-08,463.0,463.0,463.0,463.0,13724
2025-08-11,509.0,509.0,505.5,507.0,17746
2025-08-12,490.0,552.0,472.5,552.0,22283
2025-08-13,494.75,500.0,480.0,480.0,13018
2025-08-14,463.75,483.0,463.75,483.0,10536
2025-08-15,458.0,463.5,444.25,463.5,12503
2025-08-18,431.5,442.25,431.5,442.25,19822
2025-08-19,433.0,434.0,431.5,431.5,12901
2025-08-20,422.0,435.0,422.0,435.0,11551
2025-08-21,425.5,430.0,419.25,419.25,10738
2025-08-22,427.25,427.25,412.25,412.25,11334
2025-08-25,423.25,425.0,415.25,415.25,17220
2025-08-26,417.0,430.0,417.0,423.25,13342
2025-08-27,417.0,417.0,410.0,417.0,12677
2025-08-28,412.25,417.0,412.0,417.0,8630
2025-08-29,409.0,412.25,409.0,412.25,13160
2025-09-01,418.0,418.0,409.0,409.0,9622
2025-09-02,416.0,432.0,414.0,432.0,9938
2025-09-03,409.0,410.0,409.0,410.0,8530
2025-09-04,415.0,415.0,400.25,400.25,13050
2025-09-05,410.0,415.0,410.0,415.0,8349
2025-09-08,399.25,407.5,399.25,400.0,8669
2025-09-09,409.0,409.0,404.5,404.75,10869
2025-09-10,404.75,421.75,404.75,421.75,7681
2025-09-11,398.25,404.0,398.25,404.0,6538
2025-09-12,393.5,397.75,393.5,397.75,8602
2025-09-15,410.0,410.0,389.75,389.75,9317
2025-09-16,393.0,399.75,385.5,399.75,26320
2025-09-17,385.25,392.0,385.25,392.0,18302
2025-09-18,387.0,387.0,385.75,385.75,11390
2025-09-19,380.0,386.5,375.5,386.5,17507
2025-09-22,369.75,372.75,369.75,371.0,23107
2025-09-23,350.0,362.0,350.0,362.0,36751
2025-09-24,362.0,362.0,350.0,350.0,19119
2025-09-25,371.5,371.75,361.5,361.5,14561
2025-09-26,372.75,381.5,357.25,357.25,11794
2025-09-29,368.75,372.75,368.75,372.75,8867
2025-09-30,351.25,361.25,351.25,361.25,12456
2025-10-01,348.75,353.0,348.75,353.0,12578
2025-10-02,348.75,348.75,341.0,342.5,15632
2025-10-03,341.0,353.75,341.0,353.75,11352
2025-10-06,341.0,351.75,341.0,341.0,11508
2025-10-07,338.75,340.0,338.75,340.0,15906
2025-10-08,330.5,338.75,330.5,338.75,14037
2025-10-09,339.5,339.5,330.0,330.0,13763
2025-10-10,336.75,339.0,331.75,339.0,5799
2025-10-13,321.5,330.0,321.5,330.0,10805
2025-10-14,313.25,326.0,313.25,326.0,8236
2025-10-15,310.0,312.5,310.0,312.5,11173
2025-10-16,306.25,310.0,305.0,310.0,11044
2025-10-17,298.0,306.25,298.0,306.25,13398
2025-10-20,298.0,298.0,298.0,298.0,17434
2025-10-21,305.0,305.0,299.25,299.25,18173
2025-10-22,324.0,324.0,319.0,319.0,10876
2025-10-23,356.25,356.25,346.25,346.25,17952
2025-10-24,376.25,376.25,370.0,370.0,25545
2025-10-27,348.75,380.0,338.75,380.0,10747
2025-10-28,358.0,358.0,358.0,358.0,3305
2025-10-30,362.0,362.75,358.0,358.0,8225
2025-10-31,360.0,362.0,345.5,345.5,8099
2025-11-03,362.0,366.0,362.0,362.5,12008
2025-11-04,362.0,362.0,362.0,362.0,5940
2025-11-05,326.0,326.0,326.0,326.0,25548
2025-11-06,326.0,326.0,300.25,300.25,36274
2025-11-07,309.75,317.75,309.0,317.75,13968
2025-11-10,330.5,340.5,302.0,302.0,17981
2025-11-11,310.5,325.0,310.5,325.0,9017
2025-11-12,305.0,308.0,300.5,308.0,12258
2025-11-13,309.0,313.75,305.0,305.0,10384
2025-11-14,301.0,302.25,300.5,302.25,9654
2025-11-17,299.0,301.0,299.0,301.0,15493
2025-11-18,289.5,297.75,289.5,297.75,17152
2025-11-19,278.25,285.0,278.25,285.0,25668
2025-11-20,277.5,284.0,277.25,277.25,19362
2025-11-21,290.75,291.75,275.5,275.5,16550
2025-11-24,280.5,290.0,280.5,290.0,9572
2025-11-25,268.0,280.25,268.0,280.25,18497
2025-11-26,264.0,265.0,262.0,262.0,18917
2025-11-27,264.25,265.0,262.0,262.0,8273
2025-11-28,257.0,261.0,257.0,261.0,10226
2025-12-01,270.0,270.0,263.25,263.25,12831
2025-12-02,285.0,293.25,275.75,275.75,15121
2025-12-03,264.25,290.0,264.25,285.0,13378
2025-12-04,266.75,269.75,266.75,269.75,8129
2025-12-05,265.75,265.75,259.5,259.5,8528
2025-12-08,265.0,270.0,265.0,270.0,12030
2025-12-09,261.0,264.0,261.0,264.0,12461
2025-12-10,260.0,265.0,259.25,265.0,8489
2025-12-11,264.0,265.0,260.0,260.0,12038
2025-12-12,264.0,264.0,258.25,264.0,7342
2025-12-15,263.0,264.0,262.75,264.0,10178
2025-12-16,289.25,289.25,284.25,289.25,29105
2025-12-17,318.0,318.0,301.0,301.0,33676
2025-12-18,306.75,321.25,306.75,321.25,17873
2025-12-19,310.0,310.0,286.5,286.5,13385
2025-12-22,280.0,309.0,280.0,309.0,15482
2025-12-23,283.5,293.0,283.5,284.0,10745
2025-12-24,271.75,283.5,271.75,281.75,8761
2025-12-25,269.5,274.5,269.5,274.5,9952
2025-12-26,275.5,279.0,274.0,279.0,9708
2025-12-29,263.5,270.5,263.5,270.5,9024
2025-12-30,266.0,275.0,264.0,275.0,7271
2025-12-31,269.0,274.0,260.0,260.0,5954
2026-01-02,278.25,279.0,272.75,279.0,6526
2026-01-05,273.0,277.75,273.0,277.75,7905
2026-01-06,267.5,275.5,267.5,275.5,8268
2026-01-07,269.75,269.75,260.5,260.5,8009
2026-01-08,268.75,271.5,260.5,271.5,6151
2026-01-09,269.75,273.25,269.75,271.0,9029
2026-01-12,262.25,265.0,260.5,260.5,9592
2026-01-13,264.0,265.75,262.5,262.5,8305
2026-01-14,263.0,263.0,257.5,263.0,7995
2026-01-15,260.25,265.0,260.25,265.0,9483
2026-01-16,262.0,262.0,262.0,262.0,11177
2026-01-19,262.75,264.0,262.75,264.0,8238
2026-01-20,261.5,262.0,261.5,262.0,12542
2026-01-21,258.75,262.5,258.75,262.5,9219
2026-01-22,262.0,262.0,251.5,251.5,9027
2026-01-23,266.0,266.0,265.0,265.0,8687
2026-01-26,266.0,266.0,266.0,266.0,11361
2026-01-27,273.75,274.0,266.0,266.0,7374
2026-01-28,275.0,280.0,275.0,278.75,9551
2026-01-29,270.0,270.25,270.0,270.25,6571
2026-01-30,273.75,297.0,243.0,243.0,12879
2026-02-02,270.0,270.0,266.25,269.0,6551
2026-02-03,272.0,274.5,272.0,274.5,5695
2026-02-04,267.5,269.5,266.0,269.5,7738
2026-02-05,265.0,270.0,265.0,268.75,6987
2026-02-06,266.5,269.75,266.5,269.75,5186
2026-02-09,268.0,269.0,266.5,266.5,6401
2026-02-10,268.0,270.0,268.0,270.0,5681
2026-02-11,275.0,275.0,270.0,270.0,5635
2026-02-12,273.0,275.25,273.0,275.25,5921
2026-02-13,270.0,270.0,269.5,270.0,12120
2026-02-16,280.25,280.25,275.0,275.0,10019
2026-02-17,304.0,304.0,285.0,285.0,18138
2026-02-18,295.0,301.0,281.25,281.25,11810
2026-02-19,278.0,298.25,277.5,298.25,10277
2026-02-20,282.75,284.0,278.0,278.0,5568
2026-02-23,293.0,299.25,293.0,299.25,11104
2026-02-24,288.0,293.0,288.0,293.0,5728
2026-02-25,292.0,300.0,290.5,290.5,7518
2026-02-26,303.0,309.0,303.0,309.0,6897
2026-02-27,290.5,308.0,290.0,308.0,5400
2026-03-02,285.0,285.0,265.0,265.0,13664
2026-03-03,284.5,285.5,284.5,285.0,6259
2026-03-04,284.0,284.5,284.0,284.5,8745
2026-03-05,294.5,299.0,277.0,299.0,5115
2026-03-06,290.0,300.0,290.0,300.0,5868
2026-03-09,289.0,289.0,281.25,285.0,8404
2026-03-10,299.0,300.0,295.0,295.0,4952
2026-03-11,294.75,295.0,282.5,295.0,8351
2026-03-12,274.75,284.5,274.75,284.5,19263
2026-03-13,274.0,275.0,266.0,266.0,10845
2026-03-16,265.0,279.25,265.0,279.25,11156
2026-03-17,263.25,270.0,263.25,270.0,11226
2026-03-18,260.25,263.5,260.25,263.5,6015
2026-03-19,259.75,260.0,259.75,260.0,3320
2026-03-23,253.0,254.75,246.5,246.5,14546
2026-03-24,249.89999389648438,253.0,249.89999389648438,253.0,8988
2026-03-25,254.75,255.25,254.75,254.75,8900
2026-03-26,250.0,254.0,242.0,254.0,12119
2026-03-27,245.0,250.0,242.5,250.0,8309
2026-03-30,237.0,243.0,230.5,242.5,9849
2026-03-31,244.0,244.0,237.1999969482422,237.1999969482422,9403
2026-04-01,238.1999969482422,247.60000610351562,238.1999969482422,247.5,7882
